dist,rho,n,Reference_mean,Reference_sd,PPI_mean,PPI_sd,PPCT_mean,PPCT_sd,PPCT2_mean,PPCT2_sd,ANCOVA_mean,ANCOVA_sd
normal,0.95,2,1.019017339742731,0.7078239791377292,1.0018625543314499,0.2355630798979346,1.0187113381916035,0.6953763557984645,1.0037174936887012,0.22498036279182054,1.00525157281801,4.778591922010116
normal,0.95,5,0.9995131152815625,0.4649907956686644,0.9998614713392875,0.14581928979958975,1.0061312829947529,0.20466936450738588,1.0004523076637695,0.14065918316101345,1.0016133603699011,0.1653024237479753
normal,0.95,10,0.9899350295542839,0.3434740538038595,1.0003449819573305,0.10841121470244336,0.9997255381664135,0.1283711885751542,0.9990700932499216,0.1039805430057564,0.998430746767978,0.10842987968247617
normal,0.95,50,0.9949421389879223,0.17184121288054385,1.0015975378814752,0.05704479654055054,1.001070803127431,0.05449843212205451,1.0010196884441642,0.05370132967845506,1.0011048264138005,0.05375217919492009
normal,0.95,100,1.0012331702389705,0.14239270705895615,0.9976529768315703,0.04594466508781716,0.9981426000341859,0.04424394438070131,0.9981152648916971,0.04431235169044936,0.9981630214301209,0.04418522078916424
chisq,0.0,2,0.9320932820210801,2.333517603744586,0.9093688787577889,3.1860089518256247,0.9320251236654696,2.3335658045745444,0.9292350726454512,2.3476782302326353,-2.3456002089994077,150.6653051636932
chisq,0.0,5,0.9795627082012537,1.4193798242601001,0.9900966769837143,2.0520904892381986,1.0148249035937718,1.5674743500823496,0.979190918410255,1.422242512754792,1.0117868236479663,1.7516482718532718
chisq,0.0,10,0.9950230613873013,1.052577561994411,0.9966850192360928,1.4664408159207942,0.9920143038468715,1.0879003378988106,0.9977533205065134,1.0606752776282466,0.9881390076227649,1.0987932448037587
chisq,0.0,50,0.9845448420083376,0.5465945890380176,1.0011608715742604,0.7929842652874125,0.9831214190783388,0.5513373683518903,0.9838987062726153,0.5479640667233516,0.9828667950828819,0.5514528056874453
chisq,0.0,100,0.9893740851250974,0.460358973285737,0.9933891720154119,0.6337363615516204,0.9889024490321959,0.4624043946963733,0.9888856015283242,0.4624027298728879,0.98891735870574,0.46241592758704747
chisq,0.5,2,0.9952541548308004,2.2478042935404274,0.8880411578835704,4.0039136732192215,0.9944008565499022,2.236704721158897,0.9553268854312922,1.9618179332536902,0.007285456189582722,58.261516413874155
chisq,0.5,5,0.9857007210120186,1.4952440180358624,1.1430437544683494,2.4456622403212513,1.2143605404119007,1.3697830469406373,1.0244792427926426,1.2523867424980726,1.1986989378947903,1.4557649430511388
chisq,0.5,10,1.014293908139555,1.007246157627564,1.0419687325800933,1.8631372783532256,1.088048210131779,0.9120841821303735,1.0216425317548423,0.8863819120544812,1.0830078267731902,0.9194347726037834
chisq,0.5,50,0.9799207248249864,0.5483350146843652,0.988311320572823,0.9230905734936603,0.9909916409470589,0.46638905627398236,0.9804988605273532,0.46482962007529943,0.9896421840916567,0.4665234935538301
chisq,0.5,100,1.0083555643884663,0.4558512156108513,1.017368173877547,0.762841616437989,1.0097909419746125,0.39439254737850404,1.0097549693576857,0.3942230610834921,1.0097904948562357,0.3945429495755398
chisq,0.95,2,0.9675266054611823,2.2903357094147436,0.9988041458914992,0.7364562743512043,0.9676687577828452,2.2506234534206193,0.9754992668837491,0.7206503033712572,0.5376757916903933,14.117898751322123
chisq,0.95,5,1.0043203910437857,1.4293245764269784,1.0187396451488957,0.4904907123323939,1.3671495513804794,0.9415402868771153,1.0099309116497412,0.4715816230157936,1.073302659682059,0.5822630707437507
chisq,0.95,10,0.9527994811233186,1.0372208173140447,1.0069393579960628,0.33676369029590786,1.154668341945452,0.4592905609935109,0.9973283082136013,0.3283604132114359,1.0335711593087786,0.3480888449191499
chisq,0.95,50,0.9618991205930224,0.5567970724383379,0.9963582732132252,0.1746473709345751,1.0131379246911172,0.16947708107911738,0.9928355687182978,0.16654508350934488,0.9970959058456074,0.1666298695900145
chisq,0.95,100,0.9951378589176763,0.4388334497681512,1.0006494999606532,0.15043221847131324,0.9996937545700851,0.144297946575483,0.9995546637709538,0.14404391537302066,0.9998587022946749,0.1440949457191921
