Reference,PPI,PPCT,PPCT2,ANCOVA,Naive (ML only),lambda,rho,pred_bias
1.6860203246876981,1.6514101727458994,1.6450571523236248,1.6442421328684917,1.644957775343544,-12.988840001538083,1.1835594490587311,0.5077465016736196,14.825369859477387
2.0294152369663476,1.7244356574404769,1.81804252000997,1.8189985219497802,1.8166929306632016,-12.916293125619127,0.6930717042924109,0.3345053143451848,14.831680528165212
2.176499163362436,2.0163507358543544,2.0461345758585,2.046516639678587,2.0460429744180466,-12.772798297453198,0.8140235251286397,0.3855598905442772,14.741408493598875
2.723102446438281,2.7357333810577416,2.735836850627085,2.735789025614816,2.7358415454950693,-12.335527120964,1.0081917587622387,0.43649738901692703,14.673915132447569
2.03053411709917,2.0265253749396557,2.0256569926431554,2.02565762253435,2.0257005124682883,-12.571172315224882,1.2166221378043738,0.48268576483354503,14.69340813571359
2.3538536147148235,2.254293742217729,2.2512911640730313,2.2512965277215193,2.2521027233548563,-12.754832673038626,1.0301585173764203,0.5025799464248438,14.941200112092188
1.6448047143510227,1.6242428437447496,1.6206213170240882,1.620377721084843,1.6204691512743425,-13.055094612672768,1.1761282711096204,0.47342211653321625,14.896058717669236
1.866240277830214,1.7908434709508263,1.7863451281143379,1.7872330389974176,1.7853080390229201,-13.082278652456324,1.0596622459580305,0.39222181207443696,14.974568430732106
1.4985685177354584,1.2927556318693034,1.3224655277959514,1.321756750294701,1.3221168014930238,-12.87581714935656,0.8556460845412313,0.426783526376271,14.640842854199814
1.4537108080678136,1.7058532257084165,1.639820199148441,1.6406735116665687,1.639930543151398,-13.362256563871181,0.7381121860499575,0.4506248699072901,15.159189439227356
1.644252730405159,1.7988121917780207,1.761101045764952,1.7608056120956737,1.7620480484450423,-13.095492513057982,0.7560088157780663,0.3900608786838947,14.920722428100099
2.006986055527909,2.0851859779272894,2.071133124025578,2.0710051991299543,2.070866803481808,-13.074853956928882,0.820295807584802,0.3732581373511839,15.102494838134811
2.0315666638155867,1.919010560569793,1.9254574823564987,1.9250770168599471,1.9256078131357055,-12.54182387406486,0.9427225925489964,0.40564972138642286,14.564929376635881
1.8684641048844246,2.1345606263130943,2.0749198330939147,2.071802785505988,2.078034866746794,-13.50027588619634,0.7758678208231777,0.37896987231734464,15.34755827690773
2.0796201771867984,2.1891921661800984,2.1816839534291956,2.1818550105622467,2.1817839792609233,-13.210548222735804,0.9314768964232146,0.4958275226177033,15.208728537804252
2.1835632818257,2.2865372015655194,2.2623159634068175,2.262225023858819,2.262481329128674,-12.946047928090426,0.7647827894684368,0.3955015939083987,14.890176623431152
1.7062235796833083,1.6846951399234185,1.6886362455137578,1.6884009938475446,1.6887385054784,-13.490717410028461,0.8169349179831131,0.4325529409791583,15.234033649714098
1.2444999095343285,1.2436488585986907,1.2434973390029271,1.2434978254345124,1.2435004283090407,-12.749381920075358,1.1780382224121508,0.4431183056763585,14.435423496216103
2.0962699577428747,1.8611925288731257,1.7939601181534925,1.793021927642244,1.7933929533250572,-12.7660827837494,1.2860011318095776,0.49271715658734133,14.842942533959663
